timestamp,open,close,high,low,vol
2018-12-31 14:30:00,8.05,8.08,8.1,8.05,31826
2018-12-31 14:35:00,8.07,8.14,8.1566,8.0688,19697
2018-12-31 14:40:00,8.159,8.11,8.159,8.099,8732
2018-12-31 14:45:00,8.11,8.075,8.11,8.0609,15262
2018-12-31 14:50:00,8.075,8.03,8.075,8.0,10400
2018-12-31 14:55:00,8.05,8.08,8.08,8.04,6783
2018-12-31 15:00:00,8.07,8.065,8.09,8.06,12317
2018-12-31 15:05:00,8.0686,8.03,8.0686,8.03,2163
2018-12-31 15:10:00,8.02,8.01,8.03,8.01,3280
2018-12-31 15:15:00,8.0,8.0184,8.0184,7.9943,5439
2018-12-31 15:20:00,8.02,8.03,8.03,8.01,2400
2018-12-31 15:25:00,8.01,8.03,8.03,8.01,3850
2018-12-31 15:30:00,8.03,8.0,8.03,7.995,3790
2018-12-31 15:35:00,8.01,8.0,8.0136,7.98,10356
2018-12-31 15:40:00,8.01,8.0368,8.04,8.01,1333
2018-12-31 15:45:00,8.04,8.025,8.1,8.025,5632
2018-12-31 15:50:00,8.01,8.05,8.05,8.01,2883
2018-12-31 15:55:00,8.04,8.02,8.05,8.02,970
2018-12-31 16:00:00,8.02,7.9968,8.02,7.97,4681
2018-12-31 16:05:00,7.98,8.0,8.0,7.96,4918
2018-12-31 16:10:00,7.985,7.985,7.99,7.985,700
2018-12-31 16:15:00,7.98,7.99,8.0,7.975,5940
2018-12-31 16:20:00,7.99,7.915,7.99,7.89,14493
2018-12-31 16:25:00,7.92,7.95,7.9539,7.92,1823
2018-12-31 16:30:00,7.94,7.8966,7.94,7.89,3300
2018-12-31 16:35:00,7.9,7.92,7.93,7.9,3576
2018-12-31 16:40:00,7.93,7.92,7.93,7.92,754
2018-12-31 16:45:00,7.93,7.965,7.97,7.93,4800
2018-12-31 16:50:00,7.97,7.975,7.975,7.96,700
2018-12-31 16:55:00,7.97,7.9798,7.98,7.96,4950
2018-12-31 17:00:00,7.99,7.98,7.99,7.98,290
2018-12-31 17:05:00,7.985,7.9848,7.9862,7.97,7500
2018-12-31 17:10:00,7.985,7.98,7.985,7.965,1825
2018-12-31 17:15:00,7.98,7.98,7.98,7.98,800
2018-12-31 17:20:00,7.9899,8.0028,8.01,7.9899,4074
2018-12-31 17:25:00,8.0,7.99,8.0,7.99,600
2018-12-31 17:30:00,7.9949,7.99,7.9949,7.975,6116
2018-12-31 17:35:00,8.0,8.0131,8.03,7.99,5612
2018-12-31 17:40:00,8.02,8.03,8.03,8.01,1400
2018-12-31 17:45:00,8.02,8.02,8.02,8.02,300
2018-12-31 17:50:00,8.01,7.9948,8.01,7.99,3098
2018-12-31 17:55:00,7.99,8.0,8.0,7.99,1077
2018-12-31 18:00:00,8.01,7.995,8.01,7.995,637
2018-12-31 18:05:00,7.995,8.03,8.03,7.995,1810
2018-12-31 18:10:00,8.03,8.03,8.0381,8.03,1500
2018-12-31 18:15:00,8.0383,8.056,8.056,8.0383,2135
2018-12-31 18:20:00,8.0567,8.04,8.0635,8.035,7346
2018-12-31 18:25:00,8.04,8.0466,8.0534,8.04,1600
2018-12-31 18:30:00,8.05,8.045,8.05,8.0381,1635
2018-12-31 18:35:00,8.05,8.05,8.06,8.05,3663
2018-12-31 18:40:00,8.0499,8.015,8.0499,8.01,1250
2018-12-31 18:45:00,8.0,8.0,8.0058,8.0,2215
2018-12-31 18:50:00,8.005,8.01,8.02,8.005,600
2018-12-31 18:55:00,8.0,7.99,8.0,7.98,4600
2018-12-31 19:00:00,7.99,7.98,7.99,7.96,4600
2018-12-31 19:05:00,7.9887,7.995,8.0,7.9887,4302
2018-12-31 19:10:00,7.99,7.9892,8.0,7.9848,2046
2018-12-31 19:15:00,7.985,7.985,7.99,7.9793,5307
2018-12-31 19:20:00,7.9869,7.965,7.989,7.96,16400
2018-12-31 19:25:00,7.97,7.96,7.975,7.96,2200
2018-12-31 19:30:00,7.97,7.9699,7.9767,7.96,4415
2018-12-31 19:35:00,7.9666,7.97,7.97,7.955,2336
2018-12-31 19:40:00,7.98,7.96,7.985,7.96,1098
2018-12-31 19:45:00,7.9668,7.99,7.99,7.9668,5302
2018-12-31 19:50:00,7.98,7.99,7.995,7.97,6967
2018-12-31 19:55:00,7.98,7.97,7.995,7.97,3656
2018-12-31 20:00:00,7.965,7.975,7.985,7.965,10123
2018-12-31 20:05:00,7.975,7.97,7.975,7.965,5870
2018-12-31 20:10:00,7.96,7.955,7.9662,7.955,5436
2018-12-31 20:15:00,7.955,7.965,7.965,7.941,10833
2018-12-31 20:20:00,7.965,7.965,7.97,7.96,9900
2018-12-31 20:25:00,7.965,8.0,8.01,7.965,12502
2018-12-31 20:30:00,8.005,8.035,8.04,8.005,7650
2018-12-31 20:35:00,8.04,8.03,8.04,8.03,21120
2018-12-31 20:40:00,8.04,8.02,8.04,8.01,25735
