timestamp,open,close,high,low,vol
2018-12-31 14:30:00,113.9947,114.02,114.19,113.655,4800
2018-12-31 14:35:00,114.13,115.15,115.15,114.115,7094
2018-12-31 14:40:00,114.87,114.51,115.13,114.48,4600
2018-12-31 14:45:00,114.92,115.03,115.23,114.82,4920
2018-12-31 14:50:00,115.07,114.58,115.07,114.44,10855
2018-12-31 14:55:00,114.575,115.21,115.24,114.5,6247
2018-12-31 15:00:00,115.12,115.04,115.59,115.04,10366
2018-12-31 15:05:00,115.11,114.83,115.18,114.75,6777
2018-12-31 15:10:00,114.89,115.0107,115.2022,114.75,3076
2018-12-31 15:15:00,114.99,115.48,115.48,114.9436,3755
2018-12-31 15:20:00,115.4612,114.97,115.4899,114.92,4993
2018-12-31 15:25:00,114.9,114.745,115.07,114.745,5008
2018-12-31 15:30:00,114.745,114.51,114.79,114.41,13280
2018-12-31 15:35:00,114.53,114.8,114.8,114.47,3190
2018-12-31 15:40:00,115.065,115.145,115.18,114.93,3110
2018-12-31 15:45:00,115.1456,114.96,115.49,114.96,4845
2018-12-31 15:50:00,114.775,114.7228,114.88,114.65,2624
2018-12-31 15:55:00,114.77,114.82,114.91,114.6001,4578
2018-12-31 16:00:00,114.78,115.04,115.08,114.7,3979
2018-12-31 16:05:00,115.115,114.84,115.12,114.81,3669
2018-12-31 16:10:00,114.7148,114.92,114.92,114.7148,2775
2018-12-31 16:15:00,114.892,114.8,114.99,114.77,4873
2018-12-31 16:20:00,114.8792,114.42,114.8792,114.395,11028
2018-12-31 16:25:00,114.41,114.49,114.66,114.41,5927
2018-12-31 16:30:00,114.52,113.92,114.53,113.86,3126
2018-12-31 16:35:00,113.96,114.26,114.26,113.88,3012
2018-12-31 16:40:00,114.1924,114.26,114.3,114.12,2180
2018-12-31 16:45:00,114.42,114.85,114.85,114.35,2600
2018-12-31 16:50:00,114.94,114.899,115.12,114.85,7249
2018-12-31 16:55:00,114.95,115.0,115.01,114.7,3150
2018-12-31 17:00:00,114.91,114.84,114.92,114.77,1432
2018-12-31 17:05:00,114.83,114.97,115.07,114.78,4143
2018-12-31 17:10:00,115.0,115.17,115.43,114.98,7610
2018-12-31 17:15:00,115.04,114.935,115.15,114.93,2400
2018-12-31 17:20:00,114.86,114.98,115.15,114.86,2140
2018-12-31 17:25:00,114.93,114.825,114.93,114.78,2100
2018-12-31 17:30:00,114.94,114.8102,114.94,114.76,4347
2018-12-31 17:35:00,114.84,115.1,115.1,114.84,1944
2018-12-31 17:40:00,115.04,115.18,115.225,115.025,3127
2018-12-31 17:45:00,115.1765,115.1697,115.26,115.12,2000
2018-12-31 17:50:00,115.15,114.9986,115.18,114.9049,4287
2018-12-31 17:55:00,114.97,115.03,115.03,114.93,600
2018-12-31 18:00:00,115.11,114.955,115.11,114.92,2035
2018-12-31 18:05:00,114.96,115.14,115.165,114.94,2200
2018-12-31 18:10:00,115.09,115.115,115.25,115.057,2201
2018-12-31 18:15:00,115.3023,115.32,115.39,115.2439,1361
2018-12-31 18:20:00,115.26,115.31,115.31,115.18,2350
2018-12-31 18:25:00,115.3699,115.5138,115.5138,115.2663,4875
2018-12-31 18:30:00,115.595,115.45,115.5978,115.45,2837
2018-12-31 18:35:00,115.4432,115.36,115.57,115.36,5238
2018-12-31 18:40:00,115.36,115.08,115.36,115.08,1800
2018-12-31 18:45:00,115.06,115.01,115.06,114.95,1600
2018-12-31 18:50:00,115.075,114.97,115.18,114.9148,5300
2018-12-31 18:55:00,115.01,115.11,115.145,115.01,1500
